date,cases_DateRepConf
2020-03-06,1
2020-03-08,2
2020-03-09,11
2020-03-10,7
2020-03-11,12
2020-03-12,2
2020-03-13,9
2020-03-14,36
2020-03-15,22
2020-03-16,2
2020-03-17,38
2020-03-18,11
2020-03-19,13
2020-03-20,12
2020-03-21,55
2020-03-22,57
2020-03-23,65
2020-03-24,69
2020-03-25,63
2020-03-26,47
2020-03-27,78
2020-03-28,189
2020-03-29,260
2020-03-30,69
2020-03-31,404
2020-04-01,159
2020-04-02,231
2020-04-03,286
2020-04-04,50
2020-04-05,107
2020-04-06,309
2020-04-07,58
2020-04-08,74
2020-04-09,155
2020-04-10,69
2020-04-11,162
2020-04-12,146
2020-04-13,192
2020-04-14,196
2020-04-15,178
2020-04-16,117
2020-04-17,137
2020-04-18,141
2020-04-19,123
2020-04-20,134
2020-04-21,74
2020-04-22,73
2020-04-23,100
2020-04-24,152
2020-04-25,51
2020-04-26,154
2020-04-27,123
2020-04-28,124
2020-04-29,192
2020-04-30,150
2020-05-01,125
2020-05-02,50
2020-05-03,121
2020-05-04,122
2020-05-05,171
2020-05-06,174
2020-05-07,93
2020-05-08,75
2020-05-09,101
2020-05-10,85
2020-05-11,171
2020-05-12,153
2020-05-13,151
2020-05-14,175
2020-05-15,119
2020-05-16,121
2020-05-17,151
2020-05-18,117
2020-05-19,163
2020-05-20,147
2020-05-21,96
2020-05-22,91
2020-05-23,110
2020-05-24,186
2020-05-25,161
2020-05-26,244
2020-05-27,257
2020-05-28,328
2020-05-29,578
2020-05-30,386
2020-05-31,272
2020-06-01,216
2020-06-02,163
2020-06-03,255
2020-06-04,267
2020-06-05,53
2020-06-06,286
2020-06-07,170
2020-06-08,255
2020-06-09,223
2020-06-10,238
2020-06-11,184
2020-06-12,291
2020-06-13,288
2020-06-14,263
2020-06-15,224
2020-06-16,195
2020-06-17,200
2020-06-18,191
2020-06-19,286
2020-06-20,299
2020-06-21,268
2020-06-22,181
2020-06-23,461
2020-06-24,255
2020-06-25,469
2020-06-26,389
2020-06-27,324
2020-06-28,366
2020-06-29,558
2020-06-30,347
2020-07-01,353
2020-07-02,121
2020-07-03,670
2020-07-04,643
2020-07-05,1183
2020-07-06,1015
2020-07-07,864
2020-07-08,1352
2020-07-09,602
2020-07-10,690
2020-07-11,777
2020-07-12,1134
2020-07-13,526
2020-07-14,344
2020-07-15,609
2020-07-16,1664
2020-07-17,978
2020-07-18,1590
2020-07-19,1487
2020-07-20,1164
2020-07-21,1346
2020-07-22,773
2020-07-23,1294
2020-07-24,1165
2020-07-25,1002
2020-07-26,1145
2020-07-27,1031
2020-07-28,785
2020-07-29,796
2020-07-30,1880
2020-07-31,2279
2020-08-01,2613
2020-08-02,2668
2020-08-03,1531
2020-08-04,2964
2020-08-05,2393
2020-08-06,2008
2020-08-07,1806
2020-08-08,2703
2020-08-09,1660
2020-08-10,4172
2020-08-11,1467
2020-08-12,2533
2020-08-13,2395
2020-08-14,3822
2020-08-15,2455
2020-08-16,2045
2020-08-17,1899
2020-08-18,2951
2020-08-19,3052
2020-08-20,2550
2020-08-21,2707
2020-08-22,2818
2020-08-23,1020
2020-08-24,2477
2020-08-25,1580
2020-08-26,3140
2020-08-27,1568
2020-08-28,2071
2020-08-29,1998
2020-08-30,2187
2020-08-31,1887
2020-09-01,1809
2020-09-02,1151
2020-09-03,790
2020-09-04,1779
2020-09-05,1153
2020-09-06,1152
2020-09-07,508
2020-09-08,1425
2020-09-09,1417
2020-09-10,2127
2020-09-11,1803
2020-09-12,2627
2020-09-13,1471
2020-09-14,2498
2020-09-15,1680
2020-09-16,1602
2020-09-17,1249
2020-09-18,1334
2020-09-19,1461
2020-09-20,1318
2020-09-21,1242
2020-09-22,561
2020-09-23,1186
2020-09-24,774
2020-09-25,1060
2020-09-26,1111
2020-09-27,1047
2020-09-28,1150
2020-09-29,599
2020-09-30,869
2020-10-01,908
2020-10-02,1059
2020-10-03,1030
2020-10-04,1256
2020-10-05,803
2020-10-06,542
2020-10-07,1015
2020-10-08,855
2020-10-09,1084
2020-10-10,647
2020-10-11,775
2020-10-12,1333
2020-10-13,577
2020-10-14,621
2020-10-15,550
2020-10-16,996
2020-10-17,738
2020-10-18,829
2020-10-19,789
2020-10-20,396
2020-10-21,382
2020-10-22,489
2020-10-23,499
2020-10-24,558
2020-10-25,566
2020-10-26,393
2020-10-27,354
2020-10-28,562
2020-10-29,498
2020-10-30,549
2020-10-31,480
2020-11-01,599
2020-11-02,636
2020-11-03,409
2020-11-04,218
2020-11-05,573
2020-11-06,545
2020-11-07,559
2020-11-08,667
2020-11-09,471
2020-11-10,374
2020-11-11,396
2020-11-12,311
2020-11-13,398
